Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Ascent,Gen.G,killjoy,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Ascent,Gen.G,sova,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Ascent,Gen.G,kayo,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Ascent,Team Heretics,jett,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Ascent,Team Heretics,omen,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Ascent,Team Heretics,killjoy,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Ascent,Team Heretics,sova,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Ascent,Team Heretics,kayo,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Lotus,Gen.G,viper,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Lotus,Gen.G,omen,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Lotus,Gen.G,killjoy,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Lotus,Gen.G,raze,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Lotus,Gen.G,fade,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Lotus,Team Heretics,viper,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Lotus,Team Heretics,omen,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Lotus,Team Heretics,killjoy,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Lotus,Team Heretics,raze,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Lotus,Team Heretics,fade,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Split,Gen.G,viper,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Split,Gen.G,omen,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Split,Gen.G,raze,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Split,Gen.G,skye,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Split,Gen.G,cypher,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Split,Team Heretics,viper,0,1,1
